"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"0 Total","5Y2020 2020",1501835094,1455837182,8884077,34246765,2867070,1500065733,554105185,945960548,801222184,14007321,24859340,2379194,90089224,13403285,100112213
"B Mining and quarrying","5Y2020 2020",3040648,2986814,14026,39778,30,3095186,2235414,859772,489214,84526,129694,2963,81580,71795,1683682
"05 Mining of coal, crude petroleum and natural gas","5Y2020 2020",212656,193929,674,18053,0,261501,216200,45301,21817,11837,5023,104,6052,468,0
"051 Mining of coal and lignite","5Y2020 2020",160894,142738,103,18053,0,209739,173110,36629,18722,11740,4747,102,850,468,0
"0510 Mining of coal and lignite","5Y2020 2020",160894,142738,103,18053,0,209739,173110,36629,18722,11740,4747,102,850,468,0
"05100 Mining of coal and lignite","5Y2020 2020",160894,142738,103,18053,0,209739,173110,36629,18722,11740,4747,102,850,468,0
"052 Extraction of crude petroleum and natural gas","5Y2020 2020",51762,51191,571,0,0,51762,43090,8672,3095,97,276,2,5202,0,0
"0520 Extraction of crude petroleum and natural gas","5Y2020 2020",51762,51191,571,0,0,51762,43090,8672,3095,97,276,2,5202,0,0
"05200 Extraction of crude petroleum and natural gas","5Y2020 2020",51762,51191,571,0,0,51762,43090,8672,3095,97,276,2,5202,0,0
"06 Mining of metal ores","5Y2020 2020",96193,96193,0,0,0,97507,80387,17120,3675,1763,4292,3,4610,2777,14377
"061 Mining of iron ores","5Y2020 2020",69131,69131,0,0,0,70211,60496,9715,1923,825,2863,3,1390,2711,14377
"0610 Mining of iron ores","5Y2020 2020",69131,69131,0,0,0,70211,60496,9715,1923,825,2863,3,1390,2711,14377
"06100 Mining of iron ores","5Y2020 2020",69131,69131,0,0,0,70211,60496,9715,1923,825,2863,3,1390,2711,14377
"062 Mining of non-ferrous metal ores","5Y2020 2020",27062,27062,0,0,0,27296,19891,7405,1752,938,1429,0,3220,66,0
